YearsCodePro,JobSatisfaction,CodingLanguageNum,OfficeStackAsyncNum,OpSysProfessionalNum,NEWCollabToolsNum,WorkExp,DatabaseNum,PlatformNum,OfficeStackSyncNum,avg_score,ConvertedCompYearly,LogComp,Full-time Employment,Age_encoded,EdLevel_encoded,RemoteWork_encoded,Continent_encoded
10.0,0,5.0,2.0,2.0,5.0,10.0,1.0,1.0,1.0,3.375,77104.0,11.252910438880114,1,2,1,0,2
8.0,0,8.0,2.0,1.0,5.0,8.0,4.0,5.0,3.0,3.125,130841.0,11.781738124545766,1,2,1,2,2
25.0,2,6.0,2.0,1.0,3.0,25.0,4.0,0.0,3.0,2.75,91026.0,11.418900458976148,1,3,1,2,2
5.0,0,6.0,2.0,3.0,2.0,5.0,4.0,2.0,3.0,3.375,69608.0,11.15063478224586,1,1,2,0,2
20.0,0,8.0,2.0,2.0,2.0,20.0,2.0,2.0,1.0,3.25,3110.0,8.04237800517328,1,2,6,1,2
18.0,1,13.0,6.0,1.0,11.0,27.0,12.0,5.0,9.0,3.75,280000.0,12.542544882151386,1,2,2,0,2
7.0,0,7.0,3.0,1.0,7.0,7.0,8.0,4.0,2.0,3.375,80317.0,11.293736583630396,1,2,1,0,2
2.0,0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,3.5,238.0,5.472270673671475,1,1,6,1,5
15.0,0,0.0,1.0,0.0,2.0,15.0,2.0,0.0,1.0,3.25,19276.0,9.866616077760224,1,2,1,1,2
5.0,2,2.0,2.0,1.0,2.0,4.0,0.0,0.0,5.0,2.875,21418.0,9.97198696896082,1,1,4,0,2
4.0,0,5.0,5.0,3.0,2.0,9.0,2.0,1.0,1.0,3.0,25701.0,10.154285180632154,1,1,6,0,2
15.0,0,9.0,3.0,1.0,2.0,10.0,7.0,7.0,2.0,3.125,154303.0,11.946673480806446,1,2,1,0,2
22.0,0,11.0,5.0,2.0,6.0,22.0,9.0,3.0,5.0,3.125,178443.0,12.092024501474782,1,2,1,0,3
13.0,2,3.0,1.0,1.0,3.0,13.0,0.0,0.0,4.0,2.375,81194.0,11.304596631794032,1,2,5,0,2
9.0,0,3.0,2.0,2.0,3.0,9.0,0.0,0.0,1.0,3.25,107446.0,11.584743674760698,1,2,1,0,1
4.0,0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0,3.0,43456.0,10.679504210918369,0,1,2,1,2
14.0,0,9.0,3.0,4.0,5.0,14.0,1.0,2.0,6.0,3.375,74963.0,11.224749937456188,1,2,1,1,2
25.0,0,4.0,3.0,2.0,1.0,25.0,0.0,2.0,3.0,3.625,295000.0,12.594730635321955,1,3,1,2,3
12.0,0,3.0,3.0,4.0,2.0,12.0,2.0,5.0,6.0,3.125,26657.0,10.190807059268902,1,1,2,2,1
21.0,0,9.0,6.0,2.0,5.0,21.0,4.0,0.0,3.0,3.5,149925.0,11.91789044803671,1,2,2,0,2
13.0,2,3.0,3.0,2.0,2.0,13.0,1.0,1.0,1.0,2.875,72975.0,11.197872195722317,1,1,2,1,2
12.0,1,4.0,3.0,1.0,1.0,15.0,3.0,5.0,4.0,3.75,69517.0,11.149326605958672,1,2,0,0,2
12.0,0,9.0,2.0,1.0,4.0,12.0,4.0,1.0,1.0,3.5,77104.0,11.252910438880114,1,2,4,2,2
3.0,0,5.0,2.0,2.0,1.0,3.0,4.0,0.0,2.0,3.375,14102.0,9.554071910278983,1,1,1,0,2
5.0,0,4.0,1.0,1.0,4.0,24.0,0.0,1.0,0.0,3.125,18621.0,9.832045255081765,0,3,2,2,2
13.0,1,4.0,1.0,2.0,5.0,13.0,5.0,1.0,1.0,4.0,69608.0,11.15063478224586,1,1,5,0,2
2.0,2,9.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,2.75,51403.0,10.847451815498795,1,1,1,0,2
11.0,0,14.0,4.0,1.0,7.0,10.0,6.0,3.0,7.0,3.25,180000.0,12.100712129872347,0,1,1,2,3
1.0,2,8.0,2.0,4.0,1.0,1.0,4.0,4.0,3.0,1.75,12723.0,9.4511666581427,1,0,1,0,1
3.0,0,7.0,3.0,1.0,10.0,3.0,1.0,1.0,6.0,3.375,115727.0,11.658989248100532,1,1,2,0,2
